Array Size,Seed,S Value,Runtime (s),Comparisons
100000,43,29,0.25699600000007194,1859619
100000,43,30,0.2719805999995515,1859619
100000,44,1,0.32597009999972215,1536301
100000,44,2,0.3349084000001312,1536301
100000,44,3,0.2844311999997444,1536232
100000,44,4,0.25742389999959414,1536640
100000,44,5,0.24850190000051953,1536640
100000,44,6,0.2435218000000532,1554752
100000,44,7,0.2676572999998825,1558030
100000,44,8,0.2547303000001193,1558030
100000,44,9,0.2351395000005141,1558030
100000,44,10,0.23957379999956174,1558030
100000,44,11,0.23823800000081974,1558030
100000,44,12,0.23540630000024976,1619881
100000,44,13,0.2318425000003117,1639651
100000,44,14,0.24704239999937272,1639651
100000,44,15,0.23210829999970883,1639651
100000,44,16,0.25014959999953135,1639651
100000,44,17,0.25093329999981506,1639651
100000,44,18,0.24830699999984063,1639651
100000,44,19,0.23309319999953004,1639651
100000,44,20,0.23501959999975952,1639651
100000,44,21,0.23135460000048624,1639651
100000,44,22,0.24209650000011607,1639651
100000,44,23,0.2509931000004144,1639651
100000,44,24,0.24134010000034323,1766083
100000,44,25,0.2439167999991696,1862567
100000,44,26,0.24350370000047405,1862567
100000,44,27,0.24532189999990806,1862567
100000,44,28,0.24322899999970105,1862567
100000,44,29,0.24285380000037549,1862567
100000,44,30,0.24743709999984276,1862567
100000,45,1,0.31557990000055725,1536130
100000,45,2,0.31112389999998413,1536130
100000,45,3,0.2644909999999072,1536190
100000,45,4,0.25651939999988826,1536590
100000,45,5,0.2685707000000548,1536590
100000,45,6,0.26159310000002733,1554689
100000,45,7,0.24282380000022386,1557912
100000,45,8,0.24233399999957328,1557912
100000,45,9,0.23715769999944314,1557912
100000,45,10,0.23329159999957483,1557912
100000,45,11,0.23550579999937327,1557912
100000,45,12,0.22843809999994846,1619811
100000,45,13,0.24903380000068864,1639289
100000,45,14,0.23059920000014245,1639289
100000,45,15,0.2276995000001989,1639289
100000,45,16,0.2267028999995091,1639289
100000,45,17,0.22904430000016873,1639289
100000,45,18,0.23548590000063996,1639289
100000,45,19,0.22870489999968413,1639289
100000,45,20,0.22556689999964874,1639289
100000,45,21,0.2305359000001772,1639289
100000,45,22,0.2295659000001251,1639289
100000,45,23,0.2299550999996427,1639289
100000,45,24,0.25147300000026007,1764656
100000,45,25,0.24377029999959632,1862221
100000,45,26,0.2472233000007691,1862221
100000,45,27,0.25022570000055566,1862221
100000,45,28,0.26864889999978914,1862221
100000,45,29,0.24922779999997147,1862221
